StateName,EventName,IgnoreExitTime,ExitTime,TargetState,EnterTime
Suction,Falling,1,0,Falling,0
Suction,Balloon,1,0,BalloonIdle,0
Hit,Idle,1,0,Idle,0
Hit,Falling,1,0,Falling,0
SuperHit,Ground,1,0,SuperHitBounce,0
SuperHitBounce,Ground,1,0,SuperHitDown,0
SuperHitDown,Idle,1,0,Idle,0
HitJump,Idle,1,0,Idle,0
HitJump,Falling,1,0,Falling,0
SuperHitDown,Idle,1,0,Idle,0
Tackle,Hit,1,0,JumpAfterTackle,0
Tackle,Idle,1,0,Idle,0
JumpAfterTackle,Idle,1,0,Idle,0
GoDoor,Idle,1,0,Idle,0
BalloonEat,PressSit,0,2,Sit,0
BalloonEat,,0,2,Idle,0
BalloonShot,,0,1,Idle,0
BalloonEmptyShot,,0,1,Idle,0
BalloonFly,Idle,1,0,Idle,0
BalloonFly,PressJump,1,0,BalloonFly,0
BalloonFly,AbilityKeyContinue,1,0,Suction,0
BalloonFly,Hit,1,0,Hit,0
BalloonFly,Shot,1,0,BalloonEmptyShot,0
BalloonHit,Idle,1,0,BalloonIdle,0
BalloonIdle,Eat,1,0,BalloonEat,0
BalloonIdle,PressMove,1,0,BalloonMove,0
BalloonIdle,PressJump,1,0,BalloonJump,0
BalloonIdle,TiltedL,1,0,BalloonTiltedIdleL,0
BalloonIdle,TiltedR,1,0,BalloonTiltedIdleR,0
BalloonIdle,Hit,1,0,BalloonHit,0
BalloonIdle,Shot,1,0,BalloonShot,0
BalloonMove,Idle,1,0,BalloonIdle,0
BalloonMove,PressJump,1,0,BalloonJump,0
BalloonMove,Shot,1,0,BalloonShot,0
BalloonMove,Hit,1,0,BalloonHit,0
BalloonJump,Idle,1,0,BalloonIdle,0
BalloonJump,Shot,1,0,BalloonShot,0
BalloonJump,Hit,1,0,BalloonHit,0
BalloonTiltedIdleL,Idle,1,0,BalloonIdle,0
BalloonTiltedIdleL,PressMove,1,0,BalloonMove,0
BalloonTiltedIdleL,PressSit,1,0,BalloonEat,0
BalloonTiltedIdleL,TiltedR,1,0,BalloonTiltedIdleR,0
BalloonTiltedIdleL,Hit,1,0,BalloonHit,0
BalloonTiltedIdleL,Shot,1,0,BalloonShot,0
BalloonTiltedIdleL,Eat,1,0,BalloonEat,0
BalloonTiltedIdleR,Idle,1,0,BalloonIdle,0
BalloonTiltedIdleR,PressMove,1,0,BalloonMove,0
BalloonTiltedIdleR,PressSit,1,0,BalloonEat,0
BalloonTiltedIdleR,TiltedL,1,0,BalloonTiltedIdleL,0
BalloonTiltedIdleR,Hit,1,0,BalloonHit,0
BalloonTiltedIdleR,Shot,1,0,BalloonShot,0
BalloonTiltedIdleR,Eat,1,0,BalloonEat,0
Wall,,0,1,Idle,0
CutterAttack,,0,2,Idle,0
CutterCatch,,0,1,Idle,0
CutterDashAttack,,0,3,Idle,0
CutterNearAttack,,0,10,Idle,0
CutterSkyAttack,,0,3,Jump,11
CutterSkyDashAttack,,0,1,Jump,11
CutterSkyAttack,Idle,1,0,Idle,0
CutterSkyDashAttack,Idle,1,0,Idle,0
BombReady,PressJump,1,0,BombMove,0
BombReady,PressMove,1,0,BombMove,0
BombReady,Hit,1,0,Hit,0
BombReady,SuperHit,1,0,SuperHit,0
BombReady,Door,1,0,GoDoor,0
BombReady,Shot,1,0,BalloonShot,0
BombReady,BombThrow,1,0,BombThrow,0
BombReady,Run,1,0,BombRun,0
BombReady,BombThrowReady,1,0,BombThrowReady,0
BombMove,Idle,1,0,BombReady,0
BombMove,Run,1,0,BombRun,0
BombMove,AbilityKeyContinue,1,0,Suction,0
BombMove,PressJump,1,0,BombMove,0
BombMove,Door,1,0,GoDoor,0
BombMove,Falling,1,0,Falling,0
BombMove,Hit,1,0,Hit,0
BombMove,BombThrow,1,0,BombThrow,0
BombMove,BombThrowReady,1,0,BombThrowReady,0
BombThrow,,0,3,Idle,0
BombInstall,,0,2,Sit,0
BombRun,Idle,1,0,Idle,0
BombRun,AbilityKeyContinue,1,0,Suction,0
BombRun,PressJump,1,0,BombMove,0
BombRun,Door,1,0,GoDoor,0
BombRun,Falling,1,0,Falling,0
BombRun,Wall,1,0,Wall,0
BombRun,Hit,1,0,Hit,0
BombRun,CutterDashAttack,1,0,CutterDashAttack,0
BombRun,BombRunThrow,1,0,BombRunThrow,0
BombRunThrow,,0,5,Idle,0
BombThrowReady,BombThrow,1,0,BombThrow,0
BeamAttack,,0,12,Idle,0
BeamSkyShot,,0,1,Idle,0
BeamCharge,BeamAttack,1,0,BeamAttack,0
BeamCharge,,0,11,BeamFullCharge,0
BeamFullCharge,BeamShot,1,0,BeamShot,0
BeamShot,,0,9,Idle,0
BeamDashAttack,,0,2,Idle,0
BeamCharge,Hit,1,0,Hit,0
BeamFullCharge,Hit,1,0,Hit,0
Hit,Death,1,0,DeathReady,0
DeathReady,,0,3,Death,0
WarpStar,WarpStarRoll,1,0,WarpStarRoll,0
